URL Builder  ::  V4 Company Carvalho & CO,,,,"- Linha A3: modelo dep reenchimento      |.     Em Facebook, utilizar string no campo 'Parâmetro de URL': utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}",,,,,,,,,,,,,,,,,,,,,,,
"Channel
(utm_medium)","Tool
(utm_source)",Squad,Office,Country,Country,Funnel stage,Funnel stage,Goal,Goal,Project Name,Project Name,Type of campaign/channel,Type of campaign/channel,Campo aberto,"Campaign
(utm_campaign)",Posicionamento,Posicionamento,Segmentação,Segmentação,Campo aberto,Conjunto de anúncio (utm_term),Formato,Formato,Campo aberto,Anúncio (utm_content),URL,URL Tagueada
paid,meta,Falcon,v4-ate,Brasil,br,Performance,perf,Venda ,ved,Official Time,oft,Meta - Impulsionamento de posts orgânicos,post,diadosnamorados,v4-ate_br_perf_ved_oft_post_diadosnamorados,Pos. automático ou mais de um posicionamento manual,all,Aberto,abrt,,v4-ate_br_perf_ved_oft_post_diadosnamorados_all_abrt_,Post orgânico,post-organico,,v4-ate_br_perf_ved_oft_post_diadosnamorados_all_abrt__post-organico_,https://www.lojaofficialtime.com.br/,https://www.lojaofficialtime.com.br/?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_br_perf_ved_oft_post_diadosnamorados&utm_term=v4-ate_br_perf_ved_oft_post_diadosnamorados_all_abrt_&utm_content=v4-ate_br_perf_ved_oft_post_diadosnamorados_all_abrt__post-organico_
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_,SiteLinks,stlk,ad01-chut-masc,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad01-chut-masc,https://www.lismagazine.com.br/masculino/chuteira/,https://www.lismagazine.com.br/masculino/chuteira/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad01-chut-masc
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_,SiteLinks,stlk,ad01-inf,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad01-inf,https://www.lismagazine.com.br/infantil/,https://www.lismagazine.com.br/infantil/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad01-inf
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_,anúncios search,srch-ad,ad02,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__srch-ad_ad02,https://www.lismagazine.com.br/,https://www.lismagazine.com.br/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__srch-ad_ad02
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_,SiteLinks,stlk,ad02-tns-fem,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-tns-fem,https://www.lismagazine.com.br/feminino/tenis/,https://www.lismagazine.com.br/feminino/tenis/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-tns-fem
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_,SiteLinks,stlk,ad02-tns-masc,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-tns-masc,https://www.lismagazine.com.br/masculino/tenis1/,https://www.lismagazine.com.br/masculino/tenis1/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-tns-masc
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_,SiteLinks,stlk,ad02-sand-fem,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-sand-fem,https://www.lismagazine.com.br/feminino/sandalias/,https://www.lismagazine.com.br/feminino/sandalias/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-sand-fem
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_,SiteLinks,stlk,ad02-sap-fem,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-sap-fem,https://www.lismagazine.com.br/feminino/sapato2/,https://www.lismagazine.com.br/feminino/sapato2/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-sap-fem
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_,SiteLinks,stlk,ad02-chut-masc,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-chut-masc,https://www.lismagazine.com.br/masculino/chuteira/,https://www.lismagazine.com.br/masculino/chuteira/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-chut-masc
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_,SiteLinks,stlk,ad02-inf,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-inf,https://www.lismagazine.com.br/infantil/,https://www.lismagazine.com.br/infantil/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw__stlk_ad02-inf
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,sandalias,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_sandalias,anúncios search,srch-ad,ad01,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_sandalias_srch-ad_ad01,https://www.lismagazine.com.br/feminino/sandalias/,https://www.lismagazine.com.br/feminino/sandalias/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_sandalias&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_sandalias_srch-ad_ad01
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,,v4-ate_sp_perf_ved_lis-magazine_search_,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search__all_kw_,SiteLinks,stlk,sandalias-vizzano,v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_sandalias-vizzano,https://www.lismagazine.com.br/feminino/sandalias/?mpage=3&brand=Vizzano,https://www.lismagazine.com.br/feminino/sandalias/?mpage=3&brand=Vizzano?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_&utm_term=v4-ate_sp_perf_ved_lis-magazine_search__all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_sandalias-vizzano
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,,v4-ate_sp_perf_ved_lis-magazine_search_,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search__all_kw_,SiteLinks,stlk,sandalias-beira-rio,v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_sandalias-beira-rio,https://www.lismagazine.com.br/feminino/sandalias/?mpage=2&brand=Beira%20Rio,https://www.lismagazine.com.br/feminino/sandalias/?mpage=2&brand=Beira%20Rio?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_&utm_term=v4-ate_sp_perf_ved_lis-magazine_search__all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_sandalias-beira-rio
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,tenis-fem,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_tenis-fem,anúncios search,srch-ad,ad01,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_tenis-fem_srch-ad_ad01,https://www.lismagazine.com.br/feminino/tenis/,https://www.lismagazine.com.br/feminino/tenis/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_tenis-fem&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_tenis-fem_srch-ad_ad01
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,,v4-ate_sp_perf_ved_lis-magazine_search_,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search__all_kw_,SiteLinks,stlk,tenis-fem-olympikus,v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_tenis-fem-olympikus,https://www.lismagazine.com.br/feminino/tenis/?mpage=4&brand=Olympikus,https://www.lismagazine.com.br/feminino/tenis/?mpage=4&brand=Olympikus?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_&utm_term=v4-ate_sp_perf_ved_lis-magazine_search__all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_tenis-fem-olympikus
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,,v4-ate_sp_perf_ved_lis-magazine_search_,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search__all_kw_,SiteLinks,stlk,tenis-fem-ramarim,v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_tenis-fem-ramarim,https://www.lismagazine.com.br/feminino/tenis/?mpage=4&brand=Ramarim,https://www.lismagazine.com.br/feminino/tenis/?mpage=4&brand=Ramarim?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_&utm_term=v4-ate_sp_perf_ved_lis-magazine_search__all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_tenis-fem-ramarim
