,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,outbrain,,,,goias,go,,,Seguidores,seg,Luchini Tratores,luchini-tratores,Search - Anúncios para captura de leads no form nativo,src-leadad,,Pageview - Visitantes do seu site,pgv,Youtube Discovery,yt-dv,,Banner formatos IAB - Para Google Display ou semelhantes,banner-iab
,globo,,,,maranhao,ma,,,Engajamento ,eng,Ophicina,ophicina,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,Demográfico,dmg,tiktok   shop,tk-shop,,Banner responsivo - Para Google Display ou semelhantes,banner-responsivo
,sms,,,,mato-grosso,mt,,,Local pdv,pdv,Luchini Chevrolet,luchini-chevrolet,Linkedin - Impulsionamento de posts orgânicos - estático,in-post,,Segmentação Dinâmica - Google Ads,din,tiktok ,tkt,,Collection,collection
,whatsapp,,,,mato-grosso-do-sul,ms,,,,,Valec Nissan,valec-nissan,Linkedin - Anúncio em vídeo,in-video,,Behavior,bhv,,,,Post orgânico,post-organico
,folha,,,,minas-gerais,mg,,,,,Valec Renault,valec-renault,Pushnews - Anúncio em texto,push,,Inteligencia artificial ,ia,,,,Anúncio de texto expandido,txt-ex
,tiktok,,,,para,pa,,,,,Valec Seminovos,valec-seminovos,Native Ads,native,,Aberto,abrt,,,,Anúncio de texto responsivo,txt-resp
,eoestadodeminas,,,,paraiba,pb,,,,,Grupo Luchini Consórcio,grupo-luchini-consorcio,Performance - Max,max,,,,,,,Anúncio de texto push,txt-push
,verizon,,,,parana,pr,,,,,Inverness,inverness,Visitas a lojas locais e promoções,gmn,,,,,,,Native Ads,native
,aviva,,,,pernambuco,pe,,,,,Aesa Empilhadeira,aesa-empilhadeira,Geração de demanda,gdm,,,,,,,anúncios pmx,pmax-ad
,jovempan,,,,piaui,pi,,,,,Taskr. Robotics,taskr-robotics,Google Shopping,google-Shop,,,,,,,anúncios search,srch-ad
,jovemnerd,,,,rio-de-janeiro,rj,,,,,Digimap,digimap,Google Local,google-local,,,,,,,SiteLinks,stlk
,pushnews,,,,rio-grande-do-norte,rn,,,,,Hawks Repair,hawks-repair,,,,,,,,,,
,yahoo,,,,rio-grande-do-sul,rs,,,,,Lion,lion,,,,,,,,,,
,spotify,,,,rondonia,ro,,,,,AGIBEM,agibem,,,,,,,,,,
,twitter,,,,roraima,rr,,,,,Brasforno,brasforno,,,,,,,,,,
,waze,,,,santa-catarina,sc,,,,,SPX Bank (Aptare),spx-bank-aptare,,,,,,,,,,
,dv360,,,,sao-paulo,sp,,,,,Fleexi,fleexi,,,,,,,,,,
,taboola,,,,sergipe,se,,,,,Lis Magazine,lis-magazine,,,,,,,,,,
,amazon-dsp,,,,tocantins,to,,,,,Concrelagos,concrelagos,,,,,,,,,,
,adform,,,,centro oeste,centro-oeste,,,,,Desempenho,desempenho,,,,,,,,,,
,mercado-livre-ads,,,,sudeste,sudeste,,,,,Escola de Pizza *,escola-de-pizza,,,,,,,,,,
,magazine-luiza-ads,,,,sul,sul,,,,,Paellas Pepe *,paellas-pepe,,,,,,,,,,
,shopee-ads,,,,norte,norte,,,,,Vèro + Leitão + Myspace *,vero-leitao-myspace,,,,,,,,,,
,olx ,,,,nordeste,nordeste,,,,,Festival do Torresmo *,festival-do-torresmo,,,,,,,,,,
,midia-ooh,,,,praca-personalizada,pra-perso,,,,,Cristal,cristal,,,,,,,,,,
,,,,,,,,,,,Attivamente,attivamente,,,,,,,,,,
,,,,,,,,,,,Laçador de Ofertas,lacador-de-ofertas,,,,,,,,,,
,,,,,,,,,,,Flight,flight,,,,,,,,,,
,,,,,,,,,,,Lilolimp,lilolimp,,,,,,,,,,
,,,,,,,,,,,Soliker,soliker,,,,,,,,,,
,,,,,,,,,,,B4,b4,,,,,,,,,,
,,,,,,,,,,,Arqplace,arqplace,,,,,,,,,,
,,,,,,,,,,,Pousada Vila Serrano,pousada-vila-serrano,,,,,,,,,,
,,,,,,,,,,,Centauro,centauro,,,,,,,,,,
,,,,,,,,,,,Dinamica,dinamica,,,,,,,,,,
,,,,,,,,,,,Destaque,destaque,,,,,,,,,,
,,,,,,,,,,,Miyamura,miyamura,,,,,,,,,,
,,,,,,,,,,,Triad,triad,,,,,,,,,,
,,,,,,,,,,,Omnitrade,omnitrade,,,,,,,,,,
,,,,,,,,,,,Éffera,effera,,,,,,,,,,
,,,,,,,,,,,Sensori,sensori,,,,,,,,,,
,,,,,,,,,,,Softrack,softrack,,,,,,,,,,
,,,,,,,,,,,Ozaki Engenharia,ozaki-engenharia,,,,,,,,,,
,,,,,,,,,,,Point Thermic,point-thermic,,,,,,,,,,
,,,,,,,,,,,Blues Content,blues-content,,,,,,,,,,
,,,,,,,,,,,Clivasf,clivasf,,,,,,,,,,
,,,,,,,,,,,Faciles,faciles,,,,,,,,,,
,,,,,,,,,,,Nagaura,nagaura,,,,,,,,,,
,,,,,,,,,,,Empório Pirana,emporio-pirana,,,,,,,,,,
,,,,,,,,,,,Baialuna,baialuna,,,,,,,,,,
,,,,,,,,,,,Drogalis,drogalis,,,,,,,,,,
,,,,,,,,,,,LL Indiana,ll-indiana,,,,,,,,,,
,,,,,,,,,,,Klaus,klaus,,,,,,,,,,
,,,,,,,,,,,Mercês,merces,,,,,,,,,,
,,,,,,,,,,,PetTreats,pettreats,,,,,,,,,,
,,,,,,,,,,,Bugio,bugio,,,,,,,,,,
,,,,,,,,,,,GL Frutas e Verduras,gl-frutas-e-verduras,,,,,,,,,,
,,,,,,,,,,,Josapar,josapar,,,,,,,,,,
,,,,,,,,,,,RGC,rgc,,,,,,,,,,
,,,,,,,,,,,EJOT,ejot,,,,,,,,,,
,,,,,,,,,,,Official Time,oft,,,,,,,,,,
